Creator,Suggested Product 1,Product ID 1,Total GMV 1,Suggested Product 2,Product ID 2,Total GMV 2,Suggested Product 3,Product ID 3,Total GMV 3,Suggested Product 4,Product ID 4,Total GMV 4,Suggested Product 5,Product ID 5,Total GMV 5
kay_caputo,Eleplus 3 Pieces Lightly Lined Wireless Bras for Women Comfy Plunge T Shirt Bra Pack Style Womenswear for Everyday & Bridal Events #SummerVibes,1731831726131155211,206427.86,"[NEW] [medicube] PDRN Pink Collagen Volume Multi Balm | All In One Volufiline, PDRN, NAD Stick for Youthful-Looking, Helping Look of Fine Lines, Firming Care, Anti-Aging Care | For Under-Eyes, Neck, Forehead, Smile Lines, Lip Care | Korean Skincare",1729508370969629931,"$147,187.62",DOBREVA Women's Unlined Balconette Bra No Padded Underwire Supportive Plus Size Smooth Scoop Neck,1731395246467027235,142331.58,Bratz x Glamlite Lip Kits,1732039774371222265,96481.23,"BellaVita Luxury's CEO Man Eau De Parfum 100ml (3.38 Fl.oz) | Lemon, Lavender, Tonka & Agarwood | Long Lasting Perfume for Men | Vegan Perfume | Perfect Gift for Men",1729413705690223542,86613.4
kelliecrowther,"[NEW] [medicube] PDRN Pink Collagen Volume Multi Balm | All In One Volufiline, PDRN, NAD Stick for Youthful-Looking, Helping Look of Fine Lines, Firming Care, Anti-Aging Care | For Under-Eyes, Neck, Forehead, Smile Lines, Lip Care | Korean Skincare",1729508370969629931,147187.62,Bratz x Glamlite Lip Kits,1732039774371222265,"$96,481.23","BellaVita Luxury's CEO Man Eau De Parfum 100ml (3.38 Fl.oz) | Lemon, Lavender, Tonka & Agarwood | Long Lasting Perfume for Men | Vegan Perfume | Perfect Gift for Men",1729413705690223542,86613.4,INIA CURVIFY EMS Booty Lift & Sculpting Shorts: Multi-Mode Microcurrent for Glute Sculpting & Pelvic Floor Support (Visible Results in 2-4 Wks),1729479457563251986,75436.56,"Bella Vita Luxury's Honey Oud | Eau de Parfum 100ml (3.4 fl oz) | Patchouli, Vanilla, Bergamot | Floral & Spicy | Made with Clean & Vegan Essentials Oils | Cruelty Free Fragrance Perfume",1729413742968869814,64507.09
kelsi.campbell,tarte summer skin essentials - CC color-correcting tinted serum + creaseless setting powder,1732422500087993276,172612.52,Bratz x Glamlite Lip Kits,1732039774371222265,"$96,481.23","【 2026 newly upgraded】Trucozie T350 Cordless Vacuum Cleaner, 8-in-1 Lightweight Upright Vacuum Cleaner, 45-Minute Runtime, Powerful 33 kPa Suction, Suitable for Home , Hardwood Floors, Carpets,  Pet Hair",1729406319708377732,91122.67,tarte colored clay CC undereye corrector,1729734769623929788,87736.12,"BellaVita Luxury's CEO Man Eau De Parfum 100ml (3.38 Fl.oz) | Lemon, Lavender, Tonka & Agarwood | Long Lasting Perfume for Men | Vegan Perfume | Perfect Gift for Men",1729413705690223542,86613.4
keyajames,Eleplus 3 Pieces Lightly Lined Wireless Bras for Women Comfy Plunge T Shirt Bra Pack Style Womenswear for Everyday & Bridal Events #SummerVibes,1731831726131155211,206427.86,tarte summer skin essentials - CC color-correcting tinted serum + creaseless setting powder,1732422500087993276,"$172,612.52","[NEW] [medicube] PDRN Pink Collagen Volume Multi Balm | All In One Volufiline, PDRN, NAD Stick for Youthful-Looking, Helping Look of Fine Lines, Firming Care, Anti-Aging Care | For Under-Eyes, Neck, Forehead, Smile Lines, Lip Care | Korean Skincare",1729508370969629931,147187.62,DOBREVA Women's Unlined Balconette Bra No Padded Underwire Supportive Plus Size Smooth Scoop Neck,1731395246467027235,142331.58,Bratz x Glamlite Lip Kits,1732039774371222265,96481.23
khrisskontours,tarte summer skin essentials - CC color-correcting tinted serum + creaseless setting powder,1732422500087993276,172612.52,"[NEW] [medicube] PDRN Pink Collagen Volume Multi Balm | All In One Volufiline, PDRN, NAD Stick for Youthful-Looking, Helping Look of Fine Lines, Firming Care, Anti-Aging Care | For Under-Eyes, Neck, Forehead, Smile Lines, Lip Care | Korean Skincare",1729508370969629931,"$147,187.62",Bratz x Glamlite Lip Kits,1732039774371222265,96481.23,tarte colored clay CC undereye corrector,1729734769623929788,87736.12,"BellaVita Luxury's CEO Man Eau De Parfum 100ml (3.38 Fl.oz) | Lemon, Lavender, Tonka & Agarwood | Long Lasting Perfume for Men | Vegan Perfume | Perfect Gift for Men",1729413705690223542,86613.4
kindafitky,"【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts 3"" Set",1730762320809595172,57843.35,"Colorfulkoala Women's No Front Seam Yoga Capri 21"" Dreamlux High-Waisted Tummy Control Workout Leggings with Hidden Pocket Petite Length,travel essentials,camping essentials",1731026394568233266,"$48,685.55","MFVIM Women’s Breathable Body-Shaping Yoga Outfit, High-Waisted Quick-Dry Fitness Wear, Versatile Three-Quarter Shorts Sports Set,summerwins,travel essentials,camping essentials",1732388023895625751,40407.27,【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts Set 5''-Longer Length,1730762001521283364,35900.34,Eomenie Tankini Swimsuit for Women Tummy Control Two Piece Bathing Suit High Waisted Tank Top with Swim Skirt Swimdress #Deals For You Days,1732088850959995217,29084.69
kristinadunnn,Eleplus 3 Pieces Lightly Lined Wireless Bras for Women Comfy Plunge T Shirt Bra Pack Style Womenswear for Everyday & Bridal Events #SummerVibes,1731831726131155211,206427.86,DOBREVA Women's Unlined Balconette Bra No Padded Underwire Supportive Plus Size Smooth Scoop Neck,1731395246467027235,"$142,331.58",OEAK Women Non-Slip Bandeau Bras With Comfortable Strapless Bra Seamless Wireless Tube Top Soft Wireless Bra,1731622604082024678,73952.46,OEAK Women Jelly Bras Wirefree Full Coverage No Underwire Everyday Bras Comfortable Wireless Padded Tshirt Bra,1731406217255686451,59406.84,INLYRIC Women's Inbarely Triangle Bralette Plunge Unlined Seamless Bra No Underwire Sexy Comfortable Everyday Seamless Fit Bra Summer Bra,1731711189670924528,53469.04
kristinanicoletall,Eleplus 3 Pieces Lightly Lined Wireless Bras for Women Comfy Plunge T Shirt Bra Pack Style Womenswear for Everyday & Bridal Events #SummerVibes,1731831726131155211,206427.86,DOBREVA Women's Unlined Balconette Bra No Padded Underwire Supportive Plus Size Smooth Scoop Neck,1731395246467027235,"$142,331.58",OEAK Women Non-Slip Bandeau Bras With Comfortable Strapless Bra Seamless Wireless Tube Top Soft Wireless Bra,1731622604082024678,73952.46,OEAK Women Jelly Bras Wirefree Full Coverage No Underwire Everyday Bras Comfortable Wireless Padded Tshirt Bra,1731406217255686451,59406.84,INLYRIC Women's Inbarely Triangle Bralette Plunge Unlined Seamless Bra No Underwire Sexy Comfortable Everyday Seamless Fit Bra Summer Bra,1731711189670924528,53469.04
kristiscustomcreations,VASAIKO 6-in-1 Portable  Detector with Natural Gas & Temperature Humidity Sensors Plug-and-Play Design High-Definition Display Accurate Alerts Ideal for Kitchen Garage RVs Apartments,1732022410216050952,50568.23,Sand Cloud | Towel Bag 2 in 1,1732221346435469494,"$19,017.83",Evergreen Set of 3 Lighted Halloween WitchStakes,1731081757354464199,12862.95,"【New】LED Illuminated Makeup Mirror with Built-in lights, Small Smart Touch-Controlled Makeup Mirror with Adjustable lighting.",1732471535237501929,7738.19,"Solar Garden Lights, Handwoven Rattan Solar Lantern, Special Design Outdoor Solar Garden Lights, Waterproof Solar Lights Suitable for Patio, Yard, Porch, Pathway, Decorative Lighting Lamps Modern",1730620531549049266,6995.08
kseniasenn,tarte summer skin essentials - CC color-correcting tinted serum + creaseless setting powder,1732422500087993276,172612.52,"[NEW] [medicube] PDRN Pink Collagen Volume Multi Balm | All In One Volufiline, PDRN, NAD Stick for Youthful-Looking, Helping Look of Fine Lines, Firming Care, Anti-Aging Care | For Under-Eyes, Neck, Forehead, Smile Lines, Lip Care | Korean Skincare",1729508370969629931,"$147,187.62",Bratz x Glamlite Lip Kits,1732039774371222265,96481.23,tarte colored clay CC undereye corrector,1729734769623929788,87736.12,"BellaVita Luxury's CEO Man Eau De Parfum 100ml (3.38 Fl.oz) | Lemon, Lavender, Tonka & Agarwood | Long Lasting Perfume for Men | Vegan Perfume | Perfect Gift for Men",1729413705690223542,86613.4
