Creator,Top 1 Category,Top 1 Category GMV,Top 2 Category,Top 2 Category GMV,Top 1 Product,Top 1 Product ID,Top 1 Product GMV,Top 2 Product,Top 2 Product ID,Top 2 Product GMV,Top 3 Product,Top 3 Product ID,Top 3 Product GMV,Top 4 Product,Top 4 Product ID,Top 4 Product GMV,Top 5 Product,Top 5 Product ID,Top 5 Product GMV
tonyashomefinds,Furniture,$272.44,,,"Sweet Furniture 7-Drawer Dresser - Freestanding Storage Chest, Mobile Apartment Storage Cabinet with Wheels, Modern Accent Sideboard for Home Organization Solutions,dorm essentials,home decor",1729386878427697288,181.06,"INTERGREAT Outdoor Storage Box 35 Gallon Patio Deck Box with Handles, Patio Storage Deck Boxes Garden Resin Deck Storage Container Lockable Storage Box (Black&BROWN) #Summervibes",1732295063283339860,$91.38,,,,,,,,,
tonyaskoreanskincarefavs,Food & Beverages,$50.20,,,Everydaze Collagen Vitamin C Konjac Jelly Vegan Zero Sugar Low Calorie Mango Flavor 5.07 fluid ounces * 10 pieces,1730027058390340410,50.2,,,,,,,,,,,,
toreefromtennessee,Womenswear & Underwear,"$56,749.67",Home Supplies,"$7,846.94","【New】LED Illuminated Makeup Mirror with Built-in lights, Small Smart Touch-Controlled Makeup Mirror with Adjustable lighting.",1732471535237501929,7738.19,Striped Drawstring Pants,1732496226060440122,"$6,895.20","utcoco Women's Bib Overalls, Cute Floral Print Denim Jumpsuit with Baggy Wide Leg and Adjustable Straps, Fashion Apparel Chic Pants,back to school shopping, Flower, Women's Clothes",1729494608230520289,5661.45,PrettyGarden Women's Oversized Cardigan Sweater Fall Long Lantern Sleeve Knit Open Front Lightweight Sweater Knitwear Tops#DealsForYouDays,1731208195967717743,5589.56,"Ribbed, Acid-Washed Women's Casual Dressbed Acid Washed Dress",1732458879438656204,3277.04
torineu04,Beauty & Personal Care,"$5,371.69",Pet Supplies,"$3,870.73","TYMO ROVY COMPACT - 1-Inch Deep Wave Hair Crimper and Curling Wand, Negative-Ionic Ceramic Styling Tool for Smooth Hollywood and Mermaid Waves, Dual Voltage, Lightweight, Anti-Frizz, Travel Friendly,dorm essentials",1729442199827812830,4040.05,"CATPICK Interactive cat toys for indoor cats—automatic feather toy that flutters like a bird, USB-rechargeable electric cat teaser with a suction cup base, 360° rotating cat toy, and smart, sensor-activated self-play puzzle toys designed for bored cats",1731871756732240238,"$3,850.74",tarte timeless hydrating foundation & serum foundation brush - full coverage serum foundation + FREE brush,1732289079425471420,386.37,"TYMO ROVY - 1.25-Inch Beach Waves Curling Wand, Ionic Ceramic 3-Barrel Crimper for Women, Dual Voltage, Anti-Scald, Reduces Frizz & Heat Damage, Easy to Use, Mermaid Waves, Travel Friendly,dorm essentials",1729385637241786846,333.99,"I DEW CARE Korean Instant Volumizing Dry Shampoo Powder l Tap Secret | Benzene-free, Non-aerosol, Natural, Made with Black Ginseng and Biotin for Haircare,  Comfort, Cleansing, Cleanser, Voluminous",1729441786522341812,226.43
torivofficial,Menswear & Underwear,$217.81,,,Concert Hoodie,1732298116560294055,135.83,Looneez T-Shirt,1730790417146417319,$42.99,Concert T-Shirt,1732298155868917927,38.99,,,,,,
trinity.blair,Beauty & Personal Care,"$7,181.42",Womenswear & Underwear,"$2,799.38",SBEAUTI Strapless Bra Push up Sticky bra Seamless Strapless Backless Sweat proof glue Ligher fabric adhesive Cleavage Bra Invisible Bra for Date Night Party Wedding dress SummerVibe,1731141931395616870,2703.36,"Wavytalk Bare It IPL Hair Removal with Ice Cooling, 3 Modes & 24J Dual-Pulse for Salon-Level Results on Face, Body & Bikini, Painless & Precise",1729531973032121205,"$1,488.13","Dr.Leo Drying Lotion | Pimple Treatment & Body Acne Treatment | Visibly Shrinks Pimples in 24 Hours & Helps Fade Acne Marks in 7 Days | With 1.8% Encapsulated Salicylic Acid, 4% Niacinamide & 10% Sulfur (20ml) #DealsForYouDays",1730976893467791979,1416,The Balance Bundle - Feminine Hygiene Self Care Products,1729405553725182854,931.96,Strawberry Clouds  Perfume Oil Roller,1730947704574415358,821.46
trintries,Health,$984.37,Beauty & Personal Care,$193.62,"Horbäach Liquid Chlorophyll Drops - 2 oz - Vegan, Non-GMO, and Gluten Free Formula - Natural Peppermint Flavor",1730928849486975148,927.12,"Cheeky Bonsai pH Balanced Daily Intimate Wash - Gentle Cleanser for Sensitive Skin with Odor Control, Feminine Full Body Cleanser, 7 FL OZ, Gentle Intimate Cleanser",1731030966339604985,$109.34,"HooHa Bundle, Coochy Shave set,",1732153797233053812,66.29,"Aelfric Eden Menswear High-Waist Pleated Barrel Pants - Baggy Plain Curved Wide-Leg, Button-Front Tailored, Unisex Vintage Clothing Casual Fashion Pants,summerwins",1732238285078893154,44.99,Body Magic Chlorophyll for Body Odor & Clear Skin - 3 Pack,1729623625231405958,35.26
ttsdani25,Household Appliances,"$4,805.20",Home Improvement,$124.10,AquaTru Carafe Home Water Filter,1729560031752655812,4805.2,"AquaTru Multi-Filtered Shower-Mounted Fixed Showerhead with Shower Filter Replacement, Multi-Filtered Fixed Showerheads, Shower-Mounted Fixed Showerheads",1732061595811877828,$124.10,Beetles Gel Nail Polish Kit with U V Light Gel Polish Nail Set with Diamond Decorations & Nail Art Stickers and Manicure Tools Soak Off All Season Gel Nail Kit Cutics DIY Gift for Women Salon Glossy,1729836256765907601,48.07,"4-Compartment Bento Lunch Box with Soup Thermos, 1 Count Leakproof Insulated Lunch Container, Modern Portable Lunch Box for Home, Office and School #GLOBAL PICKS",1729706526643556767,42.86,"beetles Gel Polish 20-36 Piece Nail Art Kit, Soak Off Manicure Set for Casual Nail Inspo, Includes Base, Matte & Shiny Top Coats, Nude & Flowers Designs, Rhinestone, Silicone, Gel Nail Polish",1730105694147613329,25.38
ugcwithbrii,Womenswear & Underwear,"$100,140.09",Beauty & Personal Care,"$29,572.61",CHICME Built-in Bra Tank Top Ribbed Racerback Tops Women Going Out Tops Everyday Basic Tanks Padded Tops,1729484235456352758,35889.45,LUCKMEEY Womens Strapless Front Closure Bra Push Up Lift Bra Padded Add Cup Non Slip  Anti-Slip Grip & Removable Straps Fit Outfits Wireless Supportive  Seamless Comfortable,1732282937141662165,"$13,299.53",Bur Bur Mermaid Brush - Essential Brush with Ethically Sourced Bristles & Natural Rubber Cushion for Medium to Thick Hair,1729964731527696782,10940.34,Naeduo Women's Summer Sleeveless Mini  Coco Dress Athletic Dress Spaghetti Strap Short Tennis Dress with Pockets Sports SpringStatements Jersey SpringStatements,1729491797732004752,10651.14,Bur Bur Mermaid Bundle Featuring Growing Season Hair & Scalp Treatment and Your Choice of Mermaid Brush - Essential Boar Bristle or Wet Detangling Brush,1729964781015241102,7882.7
vanessaanaya30,Womenswear & Underwear,"$76,890.53",Sports & Outdoor,"$60,217.88",【Creator’s Pick】Halara Halter Tie Back Maxi Dress with Pockets,1732355026333963102,25862.53,"YEOREO Women's Halter Neck Sports Bra Longline Workout Tank Top with Built-in Bra Backless Strappy Gym Top Buttery Soft Padded Yoga Cami summderfinds,travel essentials,camping essentials tiktokshopbacktoschool",1732405592203432921,"$15,304.31",Ainsley Wrap Top,1732094202645942434,12139.2,Unlined Plunge Scoop Bra Lace Trim Balconette Sexy Underwire Demi Bras Deep V,1731992992760893731,11227.88,Inbarely Soft Single-Layer Basic Long Sleeve Shirts See Through,1731641065545634032,6916.34
