Creator,Top 1 Category,Top 1 Category GMV,Top 2 Category,Top 2 Category GMV,Top 1 Product,Top 1 Product ID,Top 1 Product GMV,Top 2 Product,Top 2 Product ID,Top 2 Product GMV,Top 3 Product,Top 3 Product ID,Top 3 Product GMV,Top 4 Product,Top 4 Product ID,Top 4 Product GMV,Top 5 Product,Top 5 Product ID,Top 5 Product GMV
lil.mishr00m,Shoes,$639.02,Womenswear & Underwear,$503.49,"Women's 2026 Colorblock Patchwork Bootlace Worm Lace Up Low Top Sneakers, Casual Comfortable Sports Shoes, Designer Casual Sneakers for Women for Daily Walking Fall.",1730860897989989202,$639.02,Eyelet Ruffle Babydoll Mini Dress,1729501095264425122,$367.09,Think Smarter Products 8oz HOCl hypochlorous spray | multi-use spray with Himalayan minerals | fragrance-free daily spray,1729385662156346324,$138.50,Ellie Lacey Ginghman Strapless Top,1732305570453557410,$90.88,Ellie Lacey Gingham Shorts,1732305584055160994,$45.52
lillian_harriss,Womenswear & Underwear,"$3,242.94",Beauty & Personal Care,$996.47,"Yeokou Back To School Women's Turtleneck Fleece Jacket Long Sleeve Scrub Snap Button Coat for Nurses, Tops, High Neck, Lightweight, Thanksgiving, Easter",1729562156521984498,"$1,068.24",MINDBODYSKIN® 2 Supplement (No 5-HTP),1729614704826684183,$977.49,"AUTOMET Women's Oversized Faux Suede Leather Motorcycle Bomber Coat - Long Sleeve Polyester-Blend Fabric, Y2K Punk Style, Fall-Winter Outerwear with Pockets, Basic Button Closure, Versatile for Casual-Formal Use",1729615251848270295,$478.03,JASGOOD Women Leather Belt for Jeans Pants Fashion Ladies Skinny Faux Leather Belt with Gold Buckle,1730352411482231261,$444.23,Mckinley Denim Mini Skirt,1731036248486940834,$320.38
linzbuzzard,Furniture,"$14,186.15",Home Supplies,"$2,000.90","Dowinx Cross egged Office Chair with Pivoting Armrests,Criss Cross Chair with Pocket Spring Seat & Back,Reclining Computer Gaming Chair with Footrest and Metal Base",1731998808395649437,"$8,415.91","Dowinx Big and Tall office chair, with pocket spring pad and waist support, high back computer game chair, adjustable armrests, executive office chair, foot rest",1729960194504823038,"$2,265.62",All Purpose Scented Cleaner,1730369516036526190,"$1,387.05","Dowinx High Office Chair, with Pocket Spring Pad and waist Rest, High Back Computer Game Chair, Adjustable Armrests, Footrested",1729864514876444926,"$1,342.98","Stylish Aviator Sunglasses for Men and Women , Trendy Rectangle, Fashionable Design, Perfect for Outdoor Activities and Daily Wear",1732251463080579931,"$1,292.14"
little__j,Womenswear & Underwear,"$20,107.45",Beauty & Personal Care,"$1,434.26",CAKES Body Cleavage Bra™ - Seamless Sculpting Bra with Silicone Cups for Full Cleavage Reusable Matte Finish Ideal for Strapless & Backless Tops Womenswear Basic,1732022163491426879,"$7,925.12",Sheer Bralette,1732457560710025807,"$7,365.20","Renewing Lash Serum, Babe Lash Eyelash Serum, Prostaglandin-Free, Peptide-Powered Lash Serum, Support Fuller, Longer-Looking Lashes, Gentle & Effective, Easy To Use",1730818714696127032,"$1,139.58",CAKES OG Size Sticky Starter Pack - Sizes MED & LRG,1732088453048603199,"$1,114.81",CAKES Lift - The Nipple Cover that lifts,1732548908548788799,$653.90
livingwith.lindsay,Womenswear & Underwear,"$52,845.89",Beauty & Personal Care,"$10,891.83","Wavytalk Airshape Pro Roller Air Styler Set for Salon Blowout at Home | 4-in-1 Hair Dryer & Multi-Styler with Auto-Wrap Curlers & Rollers, Volumizing Brush, Less Heat Damage, Ionic Anti-Frizz",1732477883841548440,"$10,168.69","CRZ YOGA SoftAura Wide Leg Sweatpants Women 29”/ 31""/32"" Modal Lightweight Travel Pants with Pockets",1731490813938733857,"$8,961.85","C202 Women Merino Wool Sweater Lightweight Soft Slim Fit Crew Neck Spring Layering Top Everyday Long Sleeve Casual, Fabric, Essential,clothes for back to school,first day of school outfits",1732029819856261826,"$7,086.73","Women's Solid Basic Zip-Up Hooded Sweater Cardigan, Casual Cardigan Top, Casual Fitted Drop-Shoulder Long-Sleeve Everyday Womenswear Cardigan, Women Knitwear Knitting for Fall & Winter Daily Wear",1729799154496279275,"$6,360.32",Dokotoo Women's 2026 Striped Print Crewneck Casual Oversized Long Sleeve Knit Comfortable T-Shirt  Tops,1732414398684828661,"$6,106.64"
lizshops,Womenswear & Underwear,"$2,008.86",Shoes,$104.21,"Aleumdr Women's Plus Size Oversized Corduroy Sweatshirt, Casual Crewneck Long Sleeve Lightweight Pullover, Baggy, Longsleeves, Lightweight Sweatshirt, Loose",1731739774455353742,"$1,254.93",Dokotoo Women's Summer Casual Short Sleeve Solid Color Loose Texture Knit Tunic Tops Blouses with Crew Neck & Side Slits,1729445533294433269,$125.41,Asvivid Matching Sets Women 2 Piece Sets for Summer Short Sleeve Twisted Thread Shirt & Shorts with Pockets Casual Pajamas Ribbed Textured Outfit Lounge Set Womenswear #sohochic #backtoschool,1730717553251553705,$89.97,SCUSTY Women's Summer Summervibes Mini Dress Casual Short Sleeve Loose V Neck Flowy Sundress Vacation Tshirt Sun Dress,1729492514186301683,$76.87,"Plus Size Plain Woven Lantern Balloon Sleeve Tiered Ruffle Trim Smock Dress, Wedding Guest Dresses, Basic Womenswear Elegant Chic Style Aesthetic V Neck Long Sleeve Dress Fit for Vacation Party Wedding Guest, Women's Clothes for All Seasons",1729539570366321037,$63.77
lizzmi45,Womenswear & Underwear,"$95,930.30",Sports & Outdoor,"$71,904.70","Colorfulkoala Women's No Front Seam Yoga Capri 21"" Dreamlux High-Waisted Tummy Control Workout Leggings with Hidden Pocket Petite Length,travel essentials,camping essentials",1731026394568233266,"$11,257.90","CurvySweet Athena Women's Elegant Curvy Maxi Dress, Sleeveless Convertible Cowl Neck, Ruched Waist Slim Fit Gown for Formal Wedding Guest, Formal Dresses Women, Wedding Guest Dresses",1729483993705256484,"$5,736.22",NEW COMPRESSION BAND & ONE SEAM OPTION! THE ORIGINAL MAGIC FLEECE LINED LEGGINGS - XXS TO 3XL - 4 SHADES - CLOSED FOOT - Fleece Tights Available in Plus Size and Light to Brown Fur,1729406693411230691,"$4,603.61",QINSEN Womens Zip Front Tennis Dress Polo Collar Racer Back Workout Golf Dresses Build in Shorts with Pockets,1729506923078784569,"$4,374.31","Seamless Workout Sets for Women, Halter Tank Top & Gym Scrunched Shorts Sports Set, Sporty Breathable Quick Drying Outfits for Yoga Gym Workout Running, Ladies Sportswear for Summer, Exercise Clothing Set",1731202921961787612,"$3,891.04"
lizzv23,Womenswear & Underwear,"$3,579.25",Sports & Outdoor,$111.95,QINSEN Womens Zip Front Tennis Dress Polo Collar Racer Back Workout Golf Dresses Build in Shorts with Pockets,1729506923078784569,"$2,493.65",QINSEN Womens Zip Front Tennis Dress Polo Collar Racer Back Workout Golf Dresses Build in Shorts with Pockets,1729507870543353401,$493.86,"WIHOLL Lounge Sets for Women 2026 V Neck 2 Piece Outfits Airport Wide Leg Pants Matching Set Sweatsuits, Lady, Casual, Pajama Set, Comfy Sets",1732390616323363569,$154.98,Popilush Shapewear Boho Floral Lace Front Slit Maxi Dress  A-line Silhouette with Smoothing Waist Control & Supportive Bust Design,1731780586096595780,$145.49,"DEEFY SoftMotion Straight Leg Bottoms 30.5"" & 31.5"" Inseam Fitness Gymwear Women Workout Breathable Light Thin Sportswear Gym Outdoor Sports Yoga Pants Wide Sweatpants Sav Wide Leg Pants",1731625359586464180,$65.97
london_bridges_the_gap,Womenswear & Underwear,"$5,564.33",Food & Beverages,"$1,967.88","YOUSIFY Women's Bolero Shrug Hoodie - Long Sleeve Cropped Sweatshirt, Thumb Hole, Open Front, Y2K Style, Basic Lady Clothes, Korean Casual Workout Crop Top",1731720029395587842,"$4,387.92",Iron Hammer Herbal Tea,1729412598545289712,"$1,967.88","Resonance Sound Healing Tuning Fork Set – 128Hz, 136.1Hz, 256Hz, 384Hz with Activator – Sound Therapy for Stress Relief, Deep Relaxation & Chakra Balancing",1730835799600697670,$905.07,"Prasky Portable Blender, Type-C Rechargeable blender, Mini Blender, Personal Blender for Fresh Juice, Smoothies & Protein Shakes with Extra Lid and Shoulder Strap, Dishwasher Safe Parts, Ideal for Gym/Travel/Kitchen/School/Driving Plastic cup tiktokshopba",1730614079112581699,$835.12,"Women's Plain Notched Neck Fitted Blouse, Shirts, Casual Fashion Fitted Classy Elegant Minimalist Basic Top for Summer, Ladies Clothes for Daily Wear, casual comfy classy, Blouses Shirts Tops, Womenswear",1731271695899988177,$655.97
lydiaaulozzi_,Beauty & Personal Care,"$2,697.61",Toys & Hobbies,"$2,201.93","Hismile iD Stain Whitening Mouthwash for White Teeth, Freshens Breath with Essential Oils 237ml",1732164626458252048,"$1,452.69",Rainbow Loom Auto Loom Bundles,1730980482360119942,$862.75,"GROWNSY Nasal Aspirator for Baby, Electric Baby Nose Sucker with Larger Suction Chamber and More Powerful Suction, Automatic Nose Cleaner with Music and Light Soothing Function",1730881858699891343,$779.92,"Eu Natural Conception For Him – Fertility Supplements for Men, Male Fertility Booster & Prenatal – Optimal Sperm Count, Motility, Strength – Ashwagandha, Folate, Folic Acid, Magnesium & Zinc Healthy Dietary Fitness",1731480691647484489,$705.59,Advanced Food Intolerance Labs Food Sensitivity Vitamins & Gut Health Test 1000+ Items Tested for Sensitivities Nutrient Imbalances & Heavy Metals,1730664019526258810,$692.23
